doelgroep,categorie,type,id,omschrijving,110,120,150,route,bijzonderheden,verwijzen,telefoon,,
"Kind","Onderwijs","Schoolreisjes",1,"Verplichte schoolreisjes/kampen"," "," "," ","Wegwijs+","Eerst via school. Voortgezet Onderwijs: alleen bijz. bijstand als sociaal isolement dreigt. Basis Ond: via Leergeld","school",,,
,,"Schoolkosten",2,"Verplichte schoolkosten bijv kluisje","x","x","x","Leergeld","aanvraag: www.samenvoorallekinderen.nl; intermediair; als < 110% bijstandsnorm; 110 - 150%: in overleg","Liesbeth Blomjous","06 - 543 87 803",,
,,,3,"Testen, cursussen, examens","x","x","x","Leergeld (NFKH)","aanvraag: www.samenvoorallekinderen.nl; intermediair; als < 110% bijstandsnorm; 110 - 150%: in overleg","Liesbeth Blomjous","06 - 543 87 803",,
,,,4,"Bijles, huiswerkbegeleiding","x","x","x","Leergeld (NFKH)","aanvraag: www.samenvoorallekinderen.nl; intermediair; als < 110% bijstandsnorm; 110 - 150%: in overleg","Liesbeth Blomjous","06 - 543 87 803",,
,,,5,"Kinderopvang"," "," "," ","Wegwijs+","eerst kinderopvangtoeslag Belastingdienst; als onvoldoende, dan soms via Wegwijs+ ","Vraagverkenning","073 - 658 07 50",,
,,,6,"Reiskosten naar school","x","x","x","Leergeld (NFKH)","aanvraag: www.samenvoorallekinderen.nl; intermediair; als < 110% bijstandsnorm; 110 - 150%: in overleg","Liesbeth Blomjous","06 -543 87 803",," "
,,,7,"Ouderbijdrage school","x","x","x","Leergeld","aanvraag: www.samenvoorallekinderen.nl; intermediair; als < 110% bijstandsnorm; 110 - 150%: in overleg","Liesbeth Blomjous","06 -543 87 803",,
,,"Schoolspullen zoals",8,"PC, laptop, tablet","x"," -"," -","Wegwijs+","Eerst vragen ouders aan school. Daarna aanvragen via https://wegwijsplus.vught.nl/kindpakket. 10 - 17 jarigen.","website",,,
,,,9,"Overblijfkosten","x"," -"," -","Wegwijs+","Primair zelf betalen. In bijzondere situaties soms via Wegwijs+","Vraagverkenning","073 - 658 07 50",,
,,"Vervoer",10,"Fiets","x"," -"," -","Wegwijs+","Via www.wegwijsplus.vught.nl/kindpakket. Vanaf 4 jaar. Bakkersrek is apart leverbaar.","via website",,,
,,,11,"Fietsstoeltje"," -"," -"," -","Niet","Ouders moeten voor hun eigen fiets zelf een fietsstoeltje kopen en betalen","n.v.t. ",,,
,,,12,"Reiskosten stage","x","x","x","Leergeld (NFKH)","aanvraag: www.samenvoorallekinderen.nl; intermediair; als < 110% bijstandsnorm; 110 - 150%: in overleg","Liesbeth Blomjous","06 - 543 87 803",,
" ","Sport","Sportclubs (erkende)",13,"Lidmaatschap, sportkleding","x","x"," -","JFS&C","aanvraag indienen via school, Wegwijs+, Leergeld, of Bureau Jeugdzorg; max. € 225 (totaalbudget)","Carmen Nijssen","06 - 156 42 732",,
,," ",14,"Sportevenement","x","x","x","Leergeld","aanvraag: www.samenvoorallekinderen.nl; intermediair; als < 110% bijstandsnorm; 110 - 150%: in overleg","Liesbeth Blomjous","06 - 543 87 803",,
